listing_id,creation_date,loan_paid_date,first_installement_date,loan_paid_status,confirm_status,username,listing_title,listing_category,credit_score,job_loss_insurance,loan_amount,loan_period,effective_rate,preferred_rate,amount_outstanding,monthly_installment,principal_repaid,interest_paid,arrears,loan_status,type,gender,post_town,age,education,employment_status,occupation,employ_how_long,years_working_in_total,dependants,marital_status,credit_check_date,monthly_income,monthly_expenses,available_income,dti,outstanding_debts,last_debt_date
32429,2019-08-29,2019-09-02,2019-10-02,1,1,vida62,"""32429-Vartojimui",Other Purposes,A,0,4220,36,0.12,0.12,4220.0,152.06,0.0,0.0,0.0,ok,FR,Female,Jurbarko r.,57,Graduate,Employed,Bibliotekininkė / Librarian,72 or more,30,0,Divorced,2019-08-29 00:00:00,395,0,395,0.385,0,-
32428,2019-08-29,2019-09-02,2019-10-02,1,1,ADREA7,"""32428-Vartojimui",Other Purposes,D,0,4955,30,0.26,0.26,4955.0,251.71,0.0,0.0,0.0,ok,FR,Male,Šiauliai,41,High school,Employed,Direktorius / Director,18,13,1,Married,2019-08-29 00:00:00,1256,206,1050,0.3644,0,2018-12-14 00:00:00
32417,2019-08-29,2019-09-02,2019-10-02,1,1,Robertas75,"""32417-Namų remontui",Home Improvements,B,0,5435,48,0.15,0.15,5435.0,170.76,0.0,0.0,0.0,ok,FR,Male,Kaunas,44,Graduate,Employed,Vadovas / Manager,24,20,2,Married,2019-08-29 00:00:00,1808,171,1637,0.189,0,-
32416,2019-08-29,2019-09-02,2019-10-02,1,1,Robertas75,"""32416-Namų remontui",Home Improvements,B,0,5435,48,0.15,0.15,5435.0,170.76,0.0,0.0,0.0,ok,FR,Male,Kaunas,44,Graduate,Employed,Vadovas / Manager,24,20,2,Married,2019-08-29 00:00:00,1808,171,1637,0.189,0,-
32411,2019-08-29,2019-08-30,2019-09-30,1,1,diana750,"""32411-Vartojimui",Other Purposes,B,0,2940,24,0.13,0.13,2940.0,149.4,0.0,0.0,0.0,ok,FR,Female,Šilutė,44,Post graduate,Employed,Vyr. specialistė / Senior specialist,72 or more,18,2,Married,2019-06-26 00:00:00,2882,524,2358,0.2337,0,-
32410,2019-08-29,2019-09-05,2019-10-05,1,1,Rimantas69,"""32410-Refinansavimui + vartojimui",Consolidation of Other Loans,B,0,6850,60,0.17,0.17,6850.0,196.42,0.0,0.0,0.0,ok,FR,Male,Radviliškis,50,Vocational education,Employed,Vairuotojas / Driver,72 or more,25,0,Single,2019-08-29 00:00:00,1521,410,1111,0.3987,0,2015-11-10 00:00:00
32405,2019-08-29,2019-08-30,2019-09-30,1,1,orinvit,"""32405-Paskolų refinansavimui",Consolidation of Other Loans,B,0,1430,18,0.13,0.13,1430.0,92.5,0.0,0.0,0.0,ok,FR,Female,Mažeikiai,36,Graduate,Employed,Vedėjos pavaduotoja / Deputy head,72 or more,13,2,Married,2019-08-29 00:00:00,762,73,689,0.2172,0,2014-06-25 00:00:00
32400,2019-08-29,2019-08-29,2019-09-29,1,1,karolisj,"""32400-Vartojimui",Other Purposes,C,0,1105,24,0.2,0.2,1105.0,60.54,0.0,0.0,0.0,ok,FR,Male,Radviliškio r.,28,Vocational education,Employed,Operatorius / Operator,12,7,0,Single,2019-08-29 00:00:00,1608,391,1217,0.2808,0,-
32397,2019-08-29,2019-08-30,2019-09-30,1,1,Aliona80,"""32397-Refinansavimui",Consolidation of Other Loans,B,0,4200,36,0.14,0.14,4200.0,157.89,0.0,0.0,0.0,ok,FR,Female,Vilnius,39,Post graduate,Employed,Tyrėja / Investigator,72 or more,16,2,Divorced,2019-08-29 00:00:00,1018,168,850,0.3201,0,2018-01-06 00:00:00
32388,2019-08-29,2019-08-30,2019-09-30,1,1,LORVOI,"""32388-Vartojimui",Other Purposes,B,0,440,12,0.13,0.13,440.0,40.73,0.0,0.0,0.0,ok,FR,Female,Vilnius,27,High school,Employed,Socialinė darbuotoja / Social worker,9,5,1,Married,2019-08-29 00:00:00,1531,443,1088,0.316,0,-
32384,2019-08-29,2019-08-30,2019-09-30,1,1,elzbieta4,"""32384-Vartojimui",Other Purposes,C,0,1105,24,0.2,0.2,1105.0,60.54,0.0,0.0,0.0,ok,FR,Female,Pakruojo r.,22,High school,Employed,Darbininkas / Worker,6,1,0,Single,2019-08-29 00:00:00,629,0,629,0.0962,0,-
32383,2019-08-29,2019-08-30,2019-09-30,1,1,Kiesa1994,"""32383-Vartojimui",Other Purposes,D,0,555,24,0.25,0.25,555.0,32.36,0.0,0.0,0.0,ok,FR,Male,Kauno r.,25,Vocational education,Employed,Darbininkas / Worker,3,6,1,Single,2019-08-29 00:00:00,395,34,361,0.168,0,-
32380,2019-08-29,2019-08-29,2019-09-29,1,1,meskausk,"""32380-Refinansavimas",Consolidation of Other Loans,B,0,1965,24,0.13,0.13,1965.0,99.86,0.0,0.0,0.0,ok,FR,Female,Varėna,57,Graduate,Employed,Teisininkė / Lawyer,72 or more,38,0,Divorced,2019-08-23 00:00:00,642,0,642,0.1555,0,2018-04-14 00:00:00
32374,2019-08-28,2019-08-30,2019-09-30,1,1,Tadeus69,"""32374-Namų remontui",Home Improvements,A,0,1585,24,0.12,0.12,1585.0,78.95,0.0,0.0,0.0,ok,FR,Male,Vilnius,50,Vocational education,Employed,Šaltkalvis / Locksmith,60,15,0,Married,2019-08-28 00:00:00,975,0,975,0.081,0,2015-04-22 00:00:00
32371,2019-08-28,2019-08-30,2019-09-30,1,1,Lina90,"""32371-Vartojimui",Other Purposes,B,0,445,24,0.13,0.13,445.0,22.61,0.0,0.0,0.0,ok,FR,Female,Mažeikiai,29,Vocational education,Employed,Padavėja / Waitress,15,6,1,Married,2019-08-28 00:00:00,369,0,369,0.0613,0,2017-01-19 00:00:00
32367,2019-08-28,2019-08-30,2019-09-30,1,1,Jelena90,"""32367-Vartojimui",Other Purposes,B,0,660,12,0.13,0.13,660.0,61.09,0.0,0.0,0.0,ok,FR,Female,Švenčionys,29,Vocational education,Employed,Surinkėja /  Collector,18,6,2,Married,2019-08-28 00:00:00,543,0,543,0.1125,0,2018-03-21 00:00:00
32364,2019-08-28,2019-08-29,2019-09-29,1,1,auspov,"""Vartojimui",Other Purposes,B,0,2180,30,0.14,0.14,2180.0,93.85,0.0,0.0,0.0,ok,FR,Female,Jonavos raj.,31,Graduate,Employed,Buhalterė / Accountant,24,5,3,Divorced,2019-08-28 00:00:00,510,107,403,0.3938,0,2016-11-18 00:00:00
32363,2019-08-28,2019-09-02,2019-10-02,1,1,Editab,"""32363-Pirkiniui",Other Purposes,B,0,5440,36,0.14,0.14,5440.0,204.51,0.0,0.0,0.0,ok,FR,Female,Marijampolė,37,Post graduate,Employed,Buhalterė / Accountant,24,10,2,Married,2019-08-28 00:00:00,2549,167,2382,0.1457,0,-
32356,2019-08-28,2019-08-30,2019-09-30,1,1,94183472,"""32356-Vartojimo",Other Purposes,B,0,3265,36,0.14,0.14,3265.0,122.74,0.0,0.0,0.0,ok,FR,Male,"Kretingos r. sav., Kretingos sen., Kurmaičių k.,",29,Vocational education,Employed,Vairuotojas / Driver,12,5,1,Married,2019-08-28 00:00:00,1979,0,1979,0.062,0,-
32350,2019-08-28,2019-08-29,2019-09-29,1,1,Klivija,"""32350-Vartojimui",Other Purposes,A,0,325,12,0.11,0.11,325.0,29.6,0.0,0.0,0.0,ok,FR,Female,Kaunas,53,Post graduate,Employed,Vyr. bibliotekininkė / Senior librarian,72 or more,29,0,Married,2018-03-14 00:00:00,1159,106,1053,0.117,0,-
32344,2019-08-28,2019-09-02,2019-10-02,1,1,FIJONIUKAS,"""32344-Vartojimui",Other Purposes,C,0,5050,58,0.22,0.22,5050.0,165.24,0.0,0.0,0.0,ok,FR,Female,Rokiškis,25,High school,Employed,Pardavėja / Cashier,24,3,0,Single,2019-08-28 00:00:00,427,0,427,0.387,0,2018-10-17 00:00:00
32342,2019-08-28,2019-08-29,2019-09-29,1,1,Gintea,"""32342-Vartojimui",Other Purposes,B,0,1795,30,0.14,0.14,1795.0,77.27,0.0,0.0,0.0,ok,FR,Female,Kaunas,27,Vocational education,Employed,Apskaitininkė / Accountant,36,3,1,Married,2019-08-24 00:00:00,1118,153,965,0.206,0,2016-10-19 00:00:00
32336,2019-08-28,2019-08-29,2019-09-29,1,1,DAIVAXXX,"""32336-Vartojimo",Other Purposes,B,0,1310,36,0.14,0.14,1310.0,49.25,0.0,0.0,0.0,ok,FR,Female,Birštonas,44,High school,Employed,Valytoja / Cleaner,72 or more,24,0,Married,2019-08-28 00:00:00,1074,277,797,0.3038,0,-
32333,2019-08-28,2019-08-29,2019-09-29,1,1,Valdas0903,"""32333-Namų remontui",Home Improvements,C,0,4400,58,0.22,0.22,4400.0,143.97,0.0,0.0,0.0,ok,FR,Male,Kaunas,39,Vocational education,Employed,Šaltkalvis / Locksmith,60,16,0,Married,2019-08-28 00:00:00,865,165,700,0.3572,0,2016-12-23 00:00:00
